id,ArduinoSerial
001,74937303936351702162
002,649363331373510172A0
003,7523230323535150D091
004,75232303235351808161
005,74937303836351415152
006,7493730383635121E021
007,74937303836351D0F072
008,74937303836351C0D041
009,7493730383635151E0C1
010,749373038363515130E1
011,74937303836351C012A1
012,74937303836351D0A1F1
013,74937303836351F002F1
014,74937303836351017131
015,7493730383635141A211
016,74937303836351C04170
